controller,family,replicate,run_index,aggressiveness_scale,reference_peak_speed_mps,reference_peak_acceleration_mps2,reference_p95_implied_tilt_deg,reference_peak_implied_tilt_deg,position_rmse_m,velocity_rmse_mps,yaw_rmse_rad,yaw_rate_rmse_radps,position_vector_rmse_m,actual_p95_tilt_deg,actual_peak_tilt_deg,command_peak_tilt_deg,body_rate_rms_radps,body_rate_p99_radps,body_rate_max_radps,roll_pitch_step_rms_rad,roll_pitch_step_p99_rad,roll_pitch_step_max_rad,failed_solves,allocator_altered_steps,mean_solve_ms,p95_solve_ms,p99_solve_ms,max_solve_ms
edmdc,figure8,0,791000,1.75,8.749999999999998,3.204889226515694,18.2499480725847,18.563195343932883,0.06627874304124766,0.03450275354887013,0.007794861229533002,0.017101025110592343,0.11479815040924311,17.675286061870825,18.499391426489144,18.382347329620156,0.21508245671544493,0.6978433415358947,0.7008651667864287,0.0007362666317835953,0.001820147810384927,0.007214927864995499,0,0,3.038801300064103,3.572409990010783,4.045497983461246,5.697499989764765
edmdc,figure8,1,791001,1.75,8.75,3.1386983473493384,15.338292669377447,15.59106420507628,0.06732576104894385,0.036371028111639433,0.005229953037251772,0.007161025230998739,0.11661163879501246,14.519687486962699,14.889176063348776,14.862401136015379,0.19956456321312208,0.5706791221805532,0.571889274429155,0.0005100914401160299,0.0012881709588865628,0.007378698170106736,0,0,3.00901920652716,3.619339995202608,4.093382025021128,6.367599999066442
edmdc,figure8,2,791002,1.75,8.75,3.245847280567016,19.016092269482833,19.328334735728415,0.06183055894813318,0.031168815623495643,0.00939308745738034,0.02249631846007604,0.10709366955854914,18.247850312198135,19.326813697295357,19.152318275153323,0.22664185758449237,0.7879704541270133,0.7926187643343696,0.0008663684422569395,0.002268306450993365,0.00711014055581377,0,0,3.058017606147254,3.7139400170417503,4.1423019918147475,4.920899984426796
edmdc,figure8,3,791003,1.75,8.75,3.550398014901681,20.62802565911838,21.005093866494416,0.07309451714546149,0.039247892938509214,0.011325288175896038,0.02835123071963199,0.12660341745065373,19.798750256410415,21.421208734646658,21.15239485006471,0.23926787089476723,0.8858742187632678,0.8929017572974183,0.0009774192284681578,0.003034455501498552,0.006232410701883685,0,0,2.949403934797167,3.215520008234307,3.781079977634363,6.144599989056587
edmdc,figure8,4,791004,1.75,8.75,3.3016381373891277,18.016868090293368,18.34418808910063,0.07184641877026807,0.03831131189221502,0.0074949396034433065,0.015769119804030205,0.12444164765197456,17.532746576815217,18.342761050175408,18.23621853513333,0.2126841192127625,0.6816063864607256,0.6843499023841495,0.000697299010085396,0.0017262065991962591,0.006963084716242397,0,0,3.134045548941698,3.691640021861531,4.103975986363365,5.158400017535314
edmdc,figure8,5,791005,1.75,8.75,3.2999123582682146,15.492366843007428,15.76793056107156,0.07238399554665004,0.03955083203967261,0.005425727137739017,0.007931693134564696,0.12537275794163721,14.851819024488735,15.286551390164918,15.252844937031975,0.20024678946746902,0.5777576533592891,0.5792196801873841,0.0005133688267567897,0.0012097697402672664,0.006967852694871159,0,0,3.005873791243205,3.3808100066380566,3.7533319985959674,5.513099982636049
edmdc,figure8,6,791006,1.75,8.75,3.4522844358378384,20.12624676324664,20.456930138143093,0.06280734409490477,0.03225250500930935,0.011515121381444596,0.02942393909039165,0.10878551106083614,19.114990239214155,20.656377217521605,20.393328822179104,0.24177835511252238,0.8856981254474232,0.893658260996308,0.0010259540857714576,0.0029577832047263447,0.006536379758894106,0,0,2.988787295670451,3.3250799984671175,3.728965987684205,5.9006999945268035
edmdc,figure8,7,791007,1.75,8.75,3.1752654932000053,17.606371538904522,17.90838496898162,0.06720437413648431,0.035295511335369636,0.007003858424497685,0.014369190429699339,0.11640139049525862,17.052352501860728,17.749064717572924,17.659963440641096,0.20980996087118822,0.6548963708625827,0.6572733641778329,0.0006715018944946524,0.0015756302418537928,0.007289023071562217,0,0,2.999136412103445,3.2663599879015237,3.7999759963713577,5.873399990377948
edmdc,figure8,8,791008,1.75,8.75,3.6969035570763977,21.33109229690537,21.738869709250416,0.07899477619870328,0.04311029063213028,0.01202265851316342,0.03086594362694358,0.13682296590868673,20.458709999005105,22.31924256344283,22.016737054111076,0.2433383679296876,0.8968167352009777,0.9082277248154714,0.00103580106510037,0.00333292683464109,0.005731249640066983,0,0,3.010310103239354,3.4993199864402413,3.818991996813564,5.804299988085404
edmdc,figure8,9,791009,1.75,8.75,3.1733983970623836,18.512685051827315,18.802083704053985,0.059489421461954926,0.029062883955109243,0.009096889826592052,0.02162918050145551,0.10303870048498434,17.72947525284367,18.70041552453533,18.540238176044642,0.2249468987275791,0.7708480030275727,0.7751012073594356,0.000853228137211458,0.0021560959285743344,0.007293518506561854,0,0,2.9771006001850044,3.4375400078715757,3.8403280184138566,5.726600007619709
reactive_pid,figure8,0,791000,1.75,8.749999999999998,3.204889226515694,18.2499480725847,18.563195343932883,1.0222642840979186,0.42663078572985336,0.1110767068714543,0.051407383728255034,1.77061367882062,17.68952848051149,19.605475399442373,19.722856681474113,0.21634268051479788,0.6715273474148407,0.6777206973947085,0.0008681267287503835,0.002640731869565165,0.0027212558617348017,0,0,0.0,0.0,0.0,0.0
reactive_pid,figure8,1,791001,1.75,8.75,3.1386983473493384,15.338292669377447,15.59106420507628,1.1005690967663009,0.466930010746724,0.10496407051568914,0.033799365639290126,1.9062415928394212,14.259359716132579,15.659719451971208,15.989885387597063,0.20095119744576417,0.5693716148059547,0.5727735015522687,0.0006373793993956909,0.002088409189196925,0.002243203669535418,0,0,0.0,0.0,0.0,0.0
reactive_pid,figure8,2,791002,1.75,8.75,3.245847280567016,19.016092269482833,19.328334735728415,0.9719593507795301,0.4005287937241518,0.11604585001695979,0.06252151643226557,1.6834829784418068,18.466441685563957,20.74599117635222,20.723109449253183,0.2281899035294903,0.7542564664121764,0.7582591723321931,0.0010233735275353905,0.0029848520192278425,0.0032052837661261757,0,0,0.0,0.0,0.0,0.0
